"original","replace"
"d' eenhonderd roe","d'eenhonderd roe"
"den haag laan van noi","den haag laan v noi"
"'s hertogenbosch","'s-hertogenbosch"
"'s hertogenbosch oost","'s-hertogenbosch oost"
"amsterdamscheweg","amsterdamseweg"
"herkenbosch","melick-herkenbosch"
"'s heer arendskerke","'s-heer arendskerke"
"mariã«nwaard","mariënwaard"
"blauwkapel","spoorwegknooppunt blauwkapel"
"bloemendaalscheweg","bloemendaalsche weg"
"beugen (kruispunt) (laag)","kruispunt beugen"
"nieuwerkerk aan den ijssel","nieuwerkerk"
"berkel en rodenrijs","berkel"
"wittebrug pompstation","wittebrug-pompstation"
"noordwijkerhout","piet gijzenbrug"
"oude station","delft"
"schiedam kethel","kethel"
"vlissingen-souburg","vlissingen souburg"
"utrecht ss","utrecht staatsspoor"
"lunetten","nieuwe wetering"
"ijselmonde","ijsselmonde"
"fijenoord","rotterdam feijenoord"
"petroleumhaven","amsterdam petroleumhaven"
"meerlo-tienraij","meerlo-tienray"
"mook-molenhoek","mook molenhoek"
"veenendaal","veenendaal centrum"
"waspik-s gravenmoer","waspik-'s gravenmoer"
"watwerd","wadwerd"
"mariã«nberg","mariënberg"
"nieuw scheemda-t waar","nieuw scheemda-'t waar"
"eerste exloã«rmond","eerste exloërmond"
"nieuweschans","bad nieuweschans"
"zandvoort","zandvoort aan zee"
"helmond t hout","helmond 't hout"
"nuenen","nuenen-tongelre"
"worth-rheden","wordt-rheden"
"midlum-herbayum","midlum-herbaijum"
"st. annaparochie","sint annaparochie"
"st. jacobiparochie","sint jacobiparochie"
"hengelosche bad-en zweminrichting","hengelosche bad- en zweminrichting"
"ilversum mediapark","hilversum media park hilversum media park"
"voorburg-t loo","voorburg 't loo"
"duivendrecht i","duivendrecht"
"baarle-nassau (dorp)","baarle-nassau"
